image_ID_name,img,cell,CAR1_total,CAR1_cond,CAR_dil,vol_cell,vol_cond,vol_dil
w11-1,1,1,252933026,104498075,148434951,1292852,71515,1221337
w11-1,1,2,225691788,132685724,93006064,901252,78171,823081
w11-1,1,3,270875814,160979391,109896423,1074469,93285,981184
w11-1,1,4,262466002,160460342,102005660,1071301,92053,979248
w11-1,1,5,225489571,127339226,98150345,1072709,72935,999774
w11-1,1,6,194855569,112927001,81928568,1080057,79483,1000574
w11-1,1,7,217790791,141324155,76466636,931183,92394,838789
w11-1,1,8,210877397,146830934,64046463,831688,96741,734947
w11-1,1,9,173781259,97386947,76394312,887645,70662,816983
w11-2,2,1,147473938,62860384,84613554,976283,62559,913724
w11-2,2,2,172215376,75888208,96327168,1120900,82262,1038638
w11-2,2,3,161813155,54885498,106927657,1207426,63199,1144227
w11-2,2,4,166115644,64794805,101320839,1086261,70865,1015396
w11-2,2,5,196261830,108350522,87911308,934384,106123,828261
w11-2,2,6,121405049,48996644,72408405,799579,61076,738503
w11-2,2,7,129313359,47424470,81888889,898755,57837,840918
w11-2,2,8,146967545,42924177,104043368,1068749,59123,1009626
w11-3,3,1,191647603,49633703,142013900,1575057,87967,1487090
w11-3,3,2,234797232,48935594,185861638,2059838,94222,1965616
w11-3,3,3,188797471,37355738,151441733,1646590,76249,1570341
w11-3,3,4,135171702,20427552,114744150,1308505,47981,1260524
w11-4,4,1,125887216,12526043,113361173,1317239,37441,1279798
w11-4,4,2,175579995,7121376,168458619,2246915,23534,2223381
w11-4,4,3,157955491,4482979,153472512,1911580,14544,1897036
w11-4,4,4,142975960,3739913,139236047,1782913,13264,1769649
