"X_coodinate_cell_0","y_coodinate_cell_0","X_coodinate_cell_1","y_coodinate_cell_1","X_coodinate_cell_2","y_coodinate_cell_2","X_coodinate_cell_3","y_coodinate_cell_3","X_coodinate_cell_4","y_coodinate_cell_4","X_coodinate_cell_5","y_coodinate_cell_5","X_coodinate_cell_6","y_coodinate_cell_6","X_coodinate_cell_7","y_coodinate_cell_7"
"106","1392","371","1349","618","1128","704","1024","875","841","992","674","1116","466","1196","159"
"166","1485","460","1267","675","1048","788","940","924","780","1021","629","1134","432","1141","146"
"254","1438","490","1229","633","987","839","882","944","717","1042","557","1150","410","1059","83"
"331","1379","448","1134","567","904","754","797","892","669","963","506","1060","338","987","43"
"287","1322","362","1026","478","820","653","705","797","588","884","469","982","314","919","2"
"267","1266","324","984","424","769","586","646","730","544","821","422","921","257","884","8"
"148","1052","284","924","350","706","511","555","674","489","770","376","788","170","811","126"
"55","967","223","841","273","762","457","600","599","420","694","305","744","225","788","170"
"17","999","170","870","222","840","409","662","553","466","644","359","692","304","893","239"
"0","1035","100","929","263","896","355","707","509","556","601","419","787","391","924","260"
"0","1205","53","965","288","930","418","765","559","614","666","484","841","438","983","314"
"42","1276","145","1050","322","984","473","813","586","646","692","505","881","468","1064","340"
"78","1332","197","1138","376","1038","564","900","699","748","732","548","962","506","1149","410"
"","","234","1209","434","1117","620","972","765","810","788","582","1010","539","1188","360"
"","","268","1269","453","1141","675","1047","833","876","856","638","1047","558","1229","288"
"","","293","1332","491","1230","","","","","909","684","1072","541","1259","224"
"","","331","1375","554","1186","","","","","945","718","","","1247","178"
"","","","","583","1153","","","","","969","701","","","",""
